date,area,price_index
2011-01-01,United Kingdom,59.1
2011-02-01,United Kingdom,58.7
2011-03-01,United Kingdom,58.5
2011-04-01,United Kingdom,59.4
2011-05-01,United Kingdom,59.1
2011-06-01,United Kingdom,59.2
2011-07-01,United Kingdom,60.0
2011-08-01,United Kingdom,60.0
2011-09-01,United Kingdom,59.9
2011-10-01,United Kingdom,59.2
2011-11-01,United Kingdom,59.2
2011-12-01,United Kingdom,59.0
2012-01-01,United Kingdom,58.6
2012-02-01,United Kingdom,58.4
2012-03-01,United Kingdom,58.6
2012-04-01,United Kingdom,59.3
2012-05-01,United Kingdom,59.4
2012-06-01,United Kingdom,60.0
2012-07-01,United Kingdom,60.3
2012-08-01,United Kingdom,60.3
2012-09-01,United Kingdom,60.1
2012-10-01,United Kingdom,59.7
2012-11-01,United Kingdom,59.7
2012-12-01,United Kingdom,59.6
2013-01-01,United Kingdom,59.2
2013-02-01,United Kingdom,59.2
2013-03-01,United Kingdom,59.5
2013-04-01,United Kingdom,60.1
2013-05-01,United Kingdom,60.4
2013-06-01,United Kingdom,61.0
2013-07-01,United Kingdom,61.6
2013-08-01,United Kingdom,62.1
2013-09-01,United Kingdom,62.2
2013-10-01,United Kingdom,61.9
2013-11-01,United Kingdom,62.3
2013-12-01,United Kingdom,62.8
2014-01-01,United Kingdom,62.9
2014-02-01,United Kingdom,63.2
2014-03-01,United Kingdom,63.4
2014-04-01,United Kingdom,64.8
2014-05-01,United Kingdom,65.5
2014-06-01,United Kingdom,66.0
2014-07-01,United Kingdom,67.0
2014-08-01,United Kingdom,67.8
2014-09-01,United Kingdom,67.8
2014-10-01,United Kingdom,67.7
2014-11-01,United Kingdom,67.5
2014-12-01,United Kingdom,67.7
2015-01-01,United Kingdom,67.3
2015-02-01,United Kingdom,67.4
2015-03-01,United Kingdom,67.6
2015-04-01,United Kingdom,68.2
2015-05-01,United Kingdom,68.9
2015-06-01,United Kingdom,69.5
2015-07-01,United Kingdom,70.7
2015-08-01,United Kingdom,71.3
2015-09-01,United Kingdom,71.4
2015-10-01,United Kingdom,71.5
2015-11-01,United Kingdom,72.1
2015-12-01,United Kingdom,72.3
2016-01-01,United Kingdom,72.5
2016-02-01,United Kingdom,72.6
2016-03-01,United Kingdom,73.3
2016-04-01,United Kingdom,73.6
2016-05-01,United Kingdom,74.4
2016-06-01,United Kingdom,75.2
2016-07-01,United Kingdom,75.9
2016-08-01,United Kingdom,76.0
2016-09-01,United Kingdom,75.8
2016-10-01,United Kingdom,75.6
2016-11-01,United Kingdom,75.9
2016-12-01,United Kingdom,76.1
2017-01-01,United Kingdom,76.0
2017-02-01,United Kingdom,76.1
2017-03-01,United Kingdom,76.0
2017-04-01,United Kingdom,77.2
2017-05-01,United Kingdom,77.6
2017-06-01,United Kingdom,78.3
2017-07-01,United Kingdom,79.3
2017-08-01,United Kingdom,79.7
2017-09-01,United Kingdom,79.4
2017-10-01,United Kingdom,79.5
2017-11-01,United Kingdom,79.2
2017-12-01,United Kingdom,79.5
2018-01-01,United Kingdom,79.3
2018-02-01,United Kingdom,79.5
2018-03-01,United Kingdom,79.0
2018-04-01,United Kingdom,79.8
2018-05-01,United Kingdom,80.1
2018-06-01,United Kingdom,80.6
2018-07-01,United Kingdom,81.6
2018-08-01,United Kingdom,81.9
2018-09-01,United Kingdom,81.7
2018-10-01,United Kingdom,81.6
2018-11-01,United Kingdom,81.3
2018-12-01,United Kingdom,81.1
2019-01-01,United Kingdom,80.6
2019-02-01,United Kingdom,80.4
2019-03-01,United Kingdom,80.2
2019-04-01,United Kingdom,80.8
2019-05-01,United Kingdom,80.9
2019-06-01,United Kingdom,81.2
2019-07-01,United Kingdom,82.1
2019-08-01,United Kingdom,82.4
2019-09-01,United Kingdom,82.4
2019-10-01,United Kingdom,82.2
2019-11-01,United Kingdom,81.9
2019-12-01,United Kingdom,81.8
2020-01-01,United Kingdom,81.9
2020-02-01,United Kingdom,81.4
2020-03-01,United Kingdom,82.1
2020-04-01,United Kingdom,81.3
2020-05-01,United Kingdom,81.7
2020-06-01,United Kingdom,82.9
2020-07-01,United Kingdom,83.6
2020-08-01,United Kingdom,84.4
2020-09-01,United Kingdom,85.3
2020-10-01,United Kingdom,86.0
2020-11-01,United Kingdom,86.9
2020-12-01,United Kingdom,87.5
2021-01-01,United Kingdom,87.5
2021-02-01,United Kingdom,87.8
2021-03-01,United Kingdom,89.1
2021-04-01,United Kingdom,87.8
2021-05-01,United Kingdom,88.3
2021-06-01,United Kingdom,93.0
2021-07-01,United Kingdom,88.7
2021-08-01,United Kingdom,91.4
2021-09-01,United Kingdom,94.0
2021-10-01,United Kingdom,91.7
2021-11-01,United Kingdom,93.5
2021-12-01,United Kingdom,94.0
2022-01-01,United Kingdom,95.1
2022-02-01,United Kingdom,95.2
2022-03-01,United Kingdom,95.5
2022-04-01,United Kingdom,96.6
2022-05-01,United Kingdom,97.7
2022-06-01,United Kingdom,98.9
2022-07-01,United Kingdom,100.8
2022-08-01,United Kingdom,101.6
2022-09-01,United Kingdom,101.8
2022-10-01,United Kingdom,101.8
2022-11-01,United Kingdom,101.7
2022-12-01,United Kingdom,100.9
2023-01-01,United Kingdom,100.0
2023-02-01,United Kingdom,99.2
2023-03-01,United Kingdom,98.1
2023-04-01,United Kingdom,98.3
