date,region,price_index
2011-01-01,North East,73.5
2011-02-01,North East,73.3
2011-03-01,North East,72.6
2011-04-01,North East,74.9
2011-05-01,North East,75.3
2011-06-01,North East,75.1
2011-07-01,North East,73.8
2011-08-01,North East,73.4
2011-09-01,North East,73.5
2011-10-01,North East,72.9
2011-11-01,North East,73.4
2011-12-01,North East,72.3
2012-01-01,North East,70.9
2012-02-01,North East,71.4
2012-03-01,North East,73.2
2012-04-01,North East,72.8
2012-05-01,North East,72.5
2012-06-01,North East,73.7
2012-07-01,North East,73.5
2012-08-01,North East,75.1
2012-09-01,North East,74.1
2012-10-01,North East,73.3
2012-11-01,North East,73.3
2012-12-01,North East,72.1
2013-01-01,North East,71.3
2013-02-01,North East,70.3
2013-03-01,North East,72.2
2013-04-01,North East,72.4
2013-05-01,North East,72.7
2013-06-01,North East,72.5
2013-07-01,North East,74.4
2013-08-01,North East,75.4
2013-09-01,North East,74.7
2013-10-01,North East,70.8
2013-11-01,North East,73.1
2013-12-01,North East,72.9
2014-01-01,North East,71.8
2014-02-01,North East,72.0
2014-03-01,North East,73.0
2014-04-01,North East,74.2
2014-05-01,North East,74.4
2014-06-01,North East,76.0
2014-07-01,North East,76.1
2014-08-01,North East,76.1
2014-09-01,North East,75.4
2014-10-01,North East,74.4
2014-11-01,North East,74.5
2014-12-01,North East,74.5
2015-01-01,North East,73.5
2015-02-01,North East,74.4
2015-03-01,North East,73.8
2015-04-01,North East,76.3
2015-05-01,North East,75.7
2015-06-01,North East,76.9
2015-07-01,North East,77.0
2015-08-01,North East,77.6
2015-09-01,North East,77.4
2015-10-01,North East,76.2
2015-11-01,North East,77.2
2015-12-01,North East,77.5
2016-01-01,North East,76.0
2016-02-01,North East,76.0
2016-03-01,North East,77.1
2016-04-01,North East,76.8
2016-05-01,North East,78.2
2016-06-01,North East,79.6
2016-07-01,North East,80.1
2016-08-01,North East,79.1
2016-09-01,North East,78.3
2016-10-01,North East,77.9
2016-11-01,North East,78.4
2016-12-01,North East,79.3
2017-01-01,North East,76.6
2017-02-01,North East,77.8
2017-03-01,North East,76.4
2017-04-01,North East,78.4
2017-05-01,North East,79.7
2017-06-01,North East,80.4
2017-07-01,North East,80.3
2017-08-01,North East,81.4
2017-09-01,North East,80.0
2017-10-01,North East,80.7
2017-11-01,North East,79.8
2017-12-01,North East,81.6
2018-01-01,North East,77.9
2018-02-01,North East,79.3
2018-03-01,North East,77.8
2018-04-01,North East,80.5
2018-05-01,North East,80.8
2018-06-01,North East,80.3
2018-07-01,North East,82.3
2018-08-01,North East,81.8
2018-09-01,North East,81.7
2018-10-01,North East,82.0
2018-11-01,North East,80.9
2018-12-01,North East,80.7
2019-01-01,North East,78.7
2019-02-01,North East,78.1
2019-03-01,North East,78.2
2019-04-01,North East,80.8
2019-05-01,North East,80.8
2019-06-01,North East,81.2
2019-07-01,North East,81.5
2019-08-01,North East,82.5
2019-09-01,North East,82.8
2019-10-01,North East,81.1
2019-11-01,North East,81.2
2019-12-01,North East,81.1
2020-01-01,North East,79.9
2020-02-01,North East,79.7
2020-03-01,North East,80.5
2020-04-01,North East,77.3
2020-05-01,North East,80.3
2020-06-01,North East,81.3
2020-07-01,North East,82.0
2020-08-01,North East,82.5
2020-09-01,North East,84.6
2020-10-01,North East,84.5
2020-11-01,North East,86.2
2020-12-01,North East,87.2
2021-01-01,North East,87.9
2021-02-01,North East,88.7
2021-03-01,North East,90.3
2021-04-01,North East,88.8
2021-05-01,North East,88.7
2021-06-01,North East,96.2
2021-07-01,North East,89.1
2021-08-01,North East,90.8
2021-09-01,North East,97.4
2021-10-01,North East,90.7
2021-11-01,North East,91.8
2021-12-01,North East,93.0
2022-01-01,North East,93.2
2022-02-01,North East,93.3
2022-03-01,North East,95.1
2022-04-01,North East,95.8
2022-05-01,North East,96.4
2022-06-01,North East,98.0
2022-07-01,North East,100.5
2022-08-01,North East,100.6
2022-09-01,North East,101.4
2022-10-01,North East,101.9
2022-11-01,North East,101.5
2022-12-01,North East,101.0
2023-01-01,North East,100.0
2023-02-01,North East,98.0
2023-03-01,North East,96.1
2023-04-01,North East,97.8
2023-05-01,North East,97.4
2023-06-01,North East,99.1
2023-07-01,North East,99.5
2023-08-01,North East,102.4
2023-09-01,North East,100.5
2023-10-01,North East,100.1
2023-11-01,North East,100.0
2023-12-01,North East,100.3
2024-01-01,North East,98.1
2024-02-01,North East,98.6
2024-03-01,North East,97.6
2024-04-01,North East,97.2
2024-05-01,North East,99.2
2024-06-01,North East,100.7
2024-07-01,North East,100.6
2024-08-01,North East,101.7
2024-09-01,North East,103.6
2024-10-01,North East,103.1
2024-11-01,North East,103.4
2024-12-01,North East,104.9
2025-01-01,North East,102.9
2025-02-01,North East,104.9
2025-03-01,North East,109.0
2025-04-01,North East,100.0
2025-05-01,North East,103.6
2025-06-01,North East,106.7
2025-07-01,North East,107.0
2025-08-01,North East,107.6
2025-09-01,North East,106.8
2025-10-01,North East,108.2
2011-01-01,North West,61.2
2011-02-01,North West,60.8
2011-03-01,North West,60.2
2011-04-01,North West,61.0
2011-05-01,North West,60.7
2011-06-01,North West,60.5
2011-07-01,North West,61.4
2011-08-01,North West,61.9
2011-09-01,North West,61.5
2011-10-01,North West,61.1
2011-11-01,North West,60.0
2011-12-01,North West,60.3
2012-01-01,North West,59.3
2012-02-01,North West,60.0
2012-03-01,North West,60.2
2012-04-01,North West,60.4
2012-05-01,North West,60.0
2012-06-01,North West,61.2
2012-07-01,North West,60.8
2012-08-01,North West,61.3
2012-09-01,North West,61.2
2012-10-01,North West,59.8
2012-11-01,North West,60.7
2012-12-01,North West,60.2
2013-01-01,North West,58.7
2013-02-01,North West,59.9
2013-03-01,North West,59.8
2013-04-01,North West,60.1
2013-05-01,North West,60.3
2013-06-01,North West,61.1
2013-07-01,North West,61.1
2013-08-01,North West,62.0
2013-09-01,North West,61.9
2013-10-01,North West,60.8
2013-11-01,North West,61.3
2013-12-01,North West,61.9
2014-01-01,North West,61.1
2014-02-01,North West,61.9
2014-03-01,North West,61.3
2014-04-01,North West,62.9
2014-05-01,North West,63.2
2014-06-01,North West,64.0
2014-07-01,North West,64.4
2014-08-01,North West,65.1
2014-09-01,North West,65.0
2014-10-01,North West,64.7
2014-11-01,North West,64.5
2014-12-01,North West,64.4
2015-01-01,North West,64.1
2015-02-01,North West,64.6
2015-03-01,North West,63.7
2015-04-01,North West,64.7
2015-05-01,North West,65.8
2015-06-01,North West,65.6
2015-07-01,North West,66.7
2015-08-01,North West,67.1
2015-09-01,North West,67.3
2015-10-01,North West,66.9
2015-11-01,North West,67.3
2015-12-01,North West,67.3
2016-01-01,North West,67.4
2016-02-01,North West,67.4
2016-03-01,North West,66.6
2016-04-01,North West,69.1
2016-05-01,North West,69.6
2016-06-01,North West,69.8
2016-07-01,North West,70.8
2016-08-01,North West,70.8
2016-09-01,North West,70.7
2016-10-01,North West,69.9
2016-11-01,North West,70.5
2016-12-01,North West,70.5
2017-01-01,North West,70.4
2017-02-01,North West,71.1
2017-03-01,North West,70.5
2017-04-01,North West,71.7
2017-05-01,North West,72.1
2017-06-01,North West,73.1
2017-07-01,North West,73.9
2017-08-01,North West,74.6
2017-09-01,North West,74.3
2017-10-01,North West,74.1
2017-11-01,North West,74.3
2017-12-01,North West,74.8
2018-01-01,North West,73.3
2018-02-01,North West,74.2
2018-03-01,North West,73.3
2018-04-01,North West,74.3
2018-05-01,North West,74.8
2018-06-01,North West,75.5
2018-07-01,North West,76.5
2018-08-01,North West,76.8
2018-09-01,North West,76.8
2018-10-01,North West,77.2
2018-11-01,North West,76.9
2018-12-01,North West,76.7
2019-01-01,North West,76.0
2019-02-01,North West,76.4
2019-03-01,North West,75.7
2019-04-01,North West,76.4
2019-05-01,North West,77.3
2019-06-01,North West,77.2
2019-07-01,North West,78.3
2019-08-01,North West,79.0
2019-09-01,North West,78.7
2019-10-01,North West,78.6
2019-11-01,North West,78.2
2019-12-01,North West,77.8
2020-01-01,North West,77.5
2020-02-01,North West,77.6
2020-03-01,North West,78.5
2020-04-01,North West,77.2
2020-05-01,North West,77.4
2020-06-01,North West,79.5
2020-07-01,North West,80.7
2020-08-01,North West,81.7
2020-09-01,North West,82.1
2020-10-01,North West,83.8
2020-11-01,North West,84.1
2020-12-01,North West,85.6
2021-01-01,North West,86.3
2021-02-01,North West,87.7
2021-03-01,North West,89.1
2021-04-01,North West,87.4
2021-05-01,North West,87.6
2021-06-01,North West,94.8
2021-07-01,North West,87.0
2021-08-01,North West,90.4
2021-09-01,North West,94.8
2021-10-01,North West,89.7
2021-11-01,North West,92.5
2021-12-01,North West,93.9
2022-01-01,North West,94.5
2022-02-01,North West,94.7
2022-03-01,North West,95.2
2022-04-01,North West,96.7
2022-05-01,North West,97.7
2022-06-01,North West,98.4
2022-07-01,North West,100.9
2022-08-01,North West,101.7
2022-09-01,North West,102.7
2022-10-01,North West,102.3
2022-11-01,North West,102.7
2022-12-01,North West,101.7
2023-01-01,North West,100.0
2023-02-01,North West,99.5
2023-03-01,North West,98.4
2023-04-01,North West,98.4
2023-05-01,North West,99.4
2023-06-01,North West,100.2
2023-07-01,North West,100.8
2023-08-01,North West,101.5
2023-09-01,North West,101.6
2023-10-01,North West,101.7
2023-11-01,North West,101.0
2023-12-01,North West,101.4
2024-01-01,North West,99.6
2024-02-01,North West,99.4
2024-03-01,North West,100.4
2024-04-01,North West,100.5
2024-05-01,North West,102.6
2024-06-01,North West,102.3
2024-07-01,North West,103.1
2024-08-01,North West,105.0
2024-09-01,North West,105.3
2024-10-01,North West,105.2
2024-11-01,North West,105.4
2024-12-01,North West,105.2
2025-01-01,North West,105.4
2025-02-01,North West,106.1
2025-03-01,North West,110.1
2025-04-01,North West,102.0
2025-05-01,North West,105.4
2025-06-01,North West,107.2
2025-07-01,North West,107.7
2025-08-01,North West,109.3
2025-09-01,North West,108.2
2025-10-01,North West,108.5
2011-01-01,Yorkshire and The Humber,63.3
2011-02-01,Yorkshire and The Humber,64.3
2011-03-01,Yorkshire and The Humber,62.8
2011-04-01,Yorkshire and The Humber,64.7
2011-05-01,Yorkshire and The Humber,64.7
2011-06-01,Yorkshire and The Humber,64.0
2011-07-01,Yorkshire and The Humber,64.4
2011-08-01,Yorkshire and The Humber,65.0
2011-09-01,Yorkshire and The Humber,64.6
2011-10-01,Yorkshire and The Humber,63.5
2011-11-01,Yorkshire and The Humber,63.8
2011-12-01,Yorkshire and The Humber,63.7
2012-01-01,Yorkshire and The Humber,62.3
2012-02-01,Yorkshire and The Humber,62.8
2012-03-01,Yorkshire and The Humber,63.2
2012-04-01,Yorkshire and The Humber,62.9
2012-05-01,Yorkshire and The Humber,63.7
2012-06-01,Yorkshire and The Humber,64.3
2012-07-01,Yorkshire and The Humber,64.4
2012-08-01,Yorkshire and The Humber,64.7
2012-09-01,Yorkshire and The Humber,64.1
2012-10-01,Yorkshire and The Humber,63.5
2012-11-01,Yorkshire and The Humber,64.0
2012-12-01,Yorkshire and The Humber,63.7
2013-01-01,Yorkshire and The Humber,61.7
2013-02-01,Yorkshire and The Humber,62.9
2013-03-01,Yorkshire and The Humber,62.7
2013-04-01,Yorkshire and The Humber,62.9
2013-05-01,Yorkshire and The Humber,63.9
2013-06-01,Yorkshire and The Humber,64.2
2013-07-01,Yorkshire and The Humber,64.6
2013-08-01,Yorkshire and The Humber,64.8
2013-09-01,Yorkshire and The Humber,65.4
2013-10-01,Yorkshire and The Humber,64.3
2013-11-01,Yorkshire and The Humber,64.7
2013-12-01,Yorkshire and The Humber,65.5
2014-01-01,Yorkshire and The Humber,64.6
2014-02-01,Yorkshire and The Humber,65.6
2014-03-01,Yorkshire and The Humber,64.7
2014-04-01,Yorkshire and The Humber,66.6
2014-05-01,Yorkshire and The Humber,67.0
2014-06-01,Yorkshire and The Humber,67.0
2014-07-01,Yorkshire and The Humber,67.8
2014-08-01,Yorkshire and The Humber,68.6
2014-09-01,Yorkshire and The Humber,67.7
2014-10-01,Yorkshire and The Humber,68.1
2014-11-01,Yorkshire and The Humber,67.9
2014-12-01,Yorkshire and The Humber,68.4
2015-01-01,Yorkshire and The Humber,66.9
2015-02-01,Yorkshire and The Humber,67.3
2015-03-01,Yorkshire and The Humber,67.7
2015-04-01,Yorkshire and The Humber,68.0
2015-05-01,Yorkshire and The Humber,69.6
2015-06-01,Yorkshire and The Humber,69.7
2015-07-01,Yorkshire and The Humber,71.1
2015-08-01,Yorkshire and The Humber,71.4
2015-09-01,Yorkshire and The Humber,71.0
2015-10-01,Yorkshire and The Humber,70.9
2015-11-01,Yorkshire and The Humber,71.2
2015-12-01,Yorkshire and The Humber,71.5
2016-01-01,Yorkshire and The Humber,71.0
2016-02-01,Yorkshire and The Humber,71.3
2016-03-01,Yorkshire and The Humber,70.6
2016-04-01,Yorkshire and The Humber,72.8
2016-05-01,Yorkshire and The Humber,73.0
2016-06-01,Yorkshire and The Humber,73.8
2016-07-01,Yorkshire and The Humber,74.3
2016-08-01,Yorkshire and The Humber,74.4
